province,type,name,description,website,phone,email,address,parent_ministry
NB,Archives,Provincial Archives of New Brunswick,,https://archives.gnb.ca/,,,,"Tourism, Heritage and Culture"
NB,Museum / Gallery,Beaverbrook Art Gallery,"Host your event in one of our fully equipped gallery spaces or pavilions. The Beaverbrook is a unique site for weddings, conferences, meetings, celebrations of life, birthday parties, and more.",https://beaverbrookartgallery.org/,,,,"Tourism, Heritage and Culture"
NB,Museum,New Brunswick Museum,The New Brunswick Museum is building a bold new space to showcase our history. We look forward to reopening in 2028 – stay connected asthe vision takes shape!,https://www.nbm-mnb.ca/,,,,"Tourism, Heritage and Culture"
