province,type,name,description,website,phone,email,address,parent_ministry
NS,Museum,Nova Scotia Museum,,https://museum.novascotia.ca/,,,,"Communities, Culture, Tourism and Heritage"
NS,Archives,Nova Scotia Archives,"Visit our expanded Gaelic Resources site to explore the newest section - the Maclean, Sinclair family papers, one of the finest collections of original Gaelic material in Canada.",https://archives.novascotia.ca/,(902) 424-6060,,,"Communities, Culture, Tourism and Heritage"
NS,Museum / Gallery,Art Gallery of Nova Scotia,By submitting this form you agree to receive email updates from the AGNS. You can unsubscribe at any time. View ourprivacy policy.,https://artgalleryofnovascotia.ca/,902 424 5280,,,"Communities, Culture, Tourism and Heritage"
